WATER ETHANOL HEXANE
0.023 0.036 0.004 0.785
0.042 0.038 0.007 0.800
0.061 0.041 0.010 0.812
0.079 0.044 0.013 0.821
0.098 0.047 0.015 0.828
0.116 0.050 0.018 0.834
0.134 0.053 0.021 0.839
0.152 0.056 0.023 0.843
0.170 0.060 0.026 0.847
0.187 0.063 0.029 0.850
0.204 0.067 0.032 0.852
0.221 0.071 0.035 0.854
0.238 0.075 0.038 0.856
0.255 0.079 0.042 0.857
0.271 0.084 0.046 0.858
0.287 0.088 0.049 0.858
0.303 0.093 0.054 0.857
0.318 0.098 0.058 0.857
0.334 0.103 0.063 0.856
0.348 0.109 0.067 0.854
0.363 0.114 0.073 0.852
0.377 0.120 0.078 0.849
0.391 0.126 0.084 0.846
0.405 0.132 0.090 0.843
0.418 0.139 0.096 0.839
0.430 0.146 0.103 0.835
0.443 0.153 0.110 0.830
0.455 0.160 0.117 0.825
0.466 0.168 0.124 0.819
0.477 0.176 0.132 0.813
0.488 0.184 0.141 0.807
0.498 0.193 0.150 0.800
0.507 0.202 0.159 0.792
0.516 0.211 0.168 0.785
0.525 0.221 0.178 0.776
0.532 0.231 0.189 0.767
0.539 0.242 0.200 0.757
0.546 0.254 0.212 0.747
0.551 0.266 0.225 0.736
0.556 0.279 0.239 0.724
0.559 0.293 0.253 0.711
0.561 0.308 0.269 0.697
0.562 0.324 0.286 0.682
0.560 0.342 0.306 0.665
0.558 0.355 0.319 0.652
0.553 0.372 0.336 0.637
0.547 0.388 0.353 0.621
0.540 0.403 0.369 0.606
0.532 0.419 0.384 0.592
0.523 0.434 0.399 0.578
0.514 0.448 0.413 0.564
0.503 0.462 0.427 0.550
0.492 0.477 0.440 0.536
0.481 0.491 0.453 0.522
0.467 0.506 0.467 0.506
