WATER ETHANOL HEXANE
0.000 0.001 0.000 0.960
0.024 0.001 0.000 0.962
0.043 0.002 0.000 0.963
0.063 0.002 0.000 0.965
0.083 0.002 0.000 0.967
0.102 0.003 0.001 0.969
0.122 0.003 0.001 0.971
0.141 0.004 0.001 0.972
0.160 0.005 0.002 0.974
0.179 0.006 0.003 0.975
0.199 0.006 0.004 0.975
0.217 0.008 0.005 0.975
0.236 0.009 0.006 0.975
0.255 0.010 0.008 0.975
0.273 0.012 0.010 0.974
0.292 0.013 0.012 0.972
0.310 0.015 0.015 0.971
0.328 0.017 0.017 0.968
0.345 0.020 0.020 0.966
0.363 0.022 0.024 0.963
0.380 0.025 0.028 0.960
0.397 0.028 0.032 0.956
0.413 0.032 0.036 0.952
0.430 0.035 0.041 0.947
0.446 0.039 0.046 0.943
0.461 0.044 0.051 0.937
0.477 0.048 0.057 0.932
0.491 0.054 0.062 0.926
0.506 0.059 0.069 0.920
0.520 0.065 0.075 0.913
0.533 0.072 0.082 0.906
0.546 0.079 0.090 0.899
0.559 0.086 0.098 0.891
0.570 0.095 0.106 0.882
0.581 0.104 0.114 0.873
0.592 0.113 0.124 0.864
0.601 0.124 0.133 0.854
0.610 0.135 0.144 0.843
0.617 0.148 0.155 0.832
0.623 0.162 0.167 0.820
0.628 0.177 0.180 0.806
0.631 0.194 0.195 0.791
0.633 0.212 0.211 0.775
0.631 0.234 0.229 0.756
0.626 0.259 0.250 0.735
0.621 0.276 0.265 0.719
0.612 0.300 0.285 0.699
0.601 0.323 0.305 0.678
0.589 0.346 0.325 0.658
0.575 0.369 0.345 0.637
0.559 0.392 0.365 0.616
0.543 0.414 0.385 0.595
0.526 0.437 0.405 0.574
0.507 0.459 0.425 0.553
0.489 0.482 0.445 0.531
0.467 0.506 0.467 0.506
